,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive,time_difference
14554,19,107.77899335368308,0.0898158277947359,7.484652316227992e-05,3,20,True,1.0,20.0
14555,19,144.86673115874575,0.111435947045189,8.571995926553003e-05,6,0,True,1.0,22.0
14556,19,51.61056185686333,0.0470041546965968,4.280888405883136e-05,6,18,True,1.0,18.0
14557,19,77.15524800960546,0.0586731924027417,4.461839726444242e-05,6,40,True,1.0,22.0
14558,19,10.528055027178016,0.008773379189315,7.311149324429177e-06,7,40,False,0.0,60.0
14559,19,20.522162048365523,0.018193406071246,1.612890609153017e-05,7,59,True,1.0,19.0
14560,19,46.25074715338559,0.0414804907205251,3.720223383006744e-05,13,18,True,1.0,18.0
14561,19,62.547954992718495,0.0505642320070481,4.087650121830889e-05,13,39,True,1.0,21.0
14562,19,485.0778343607057,0.4042315286339214,0.0003368596071949,20,0,True,1.0,20.0
14563,19,6.190675435232794,0.0051588961960273,4.299080163356107e-06,20,40,False,0.0,40.0
14564,19,814.0809529729547,0.3392003970720644,0.00014133349878,21,20,True,1.0,40.0
14565,19,0.0,0.0,0.0,22,0,False,0.0,40.0
14566,19,305.5997123244775,0.2546664269370646,0.0002122220224475,22,20,True,1.0,20.0
14567,19,21.87966085728977,0.0182330507144081,1.519420892867345e-05,22,40,True,1.0,20.0
14568,19,0.3568826393403447,0.0002974021994502,2.478351662085727e-07,23,20,False,0.0,40.0
14569,19,67.00736852763565,0.0557929796233435,4.645543682210124e-05,23,40,True,1.0,20.0
14570,19,202.66169012078072,0.168744121665929,0.0001405030155419,2,20,True,1.0,20.0
14571,19,163.18503498939538,0.1393552818013624,0.0001190053644759,2,39,True,1.0,19.0
14572,19,49.61494358936744,0.0435983687077042,3.831139605246419e-05,2,58,True,1.0,19.0
14573,19,1.3149771897427562,0.0010193621625912,7.902032268149488e-07,3,20,False,0.0,22.0
14574,19,27.41410271787843,0.022845085598232,1.903757133186002e-05,3,40,True,1.0,20.0
14575,19,610.897601190291,0.5207993190028056,0.0004439891892607,3,59,True,1.0,19.0
14576,19,5282.898537493246,4.30905264069596,0.0035147248292789,4,20,True,1.0,21.0
14577,19,25490.10395181148,21.99318718879334,0.0189760027513316,4,39,True,1.0,19.0
14578,19,17326.884745091327,13.92836394299946,0.0111964340377809,5,0,True,1.0,21.0
14579,19,24021.20085524259,21.257699871896097,0.018812123780439,5,19,True,1.0,19.0
14580,19,32197.05127177137,25.43211000929808,0.0200885545097141,5,40,True,1.0,21.0
14581,19,37108.38341883132,31.554747805128677,0.026832268541776,5,59,True,1.0,19.0
14582,19,40046.02040199258,35.09730096581296,0.0307601235458483,6,18,True,1.0,19.0
14583,19,5049.217996232168,4.413652094608539,0.0038580874952871,6,37,True,1.0,19.0
14584,19,2452.0299425215862,3.252029101487515,0.0043130359436173,6,50,True,1.0,13.0
14585,19,4818.336046962357,2.722223755345964,0.0015379795227943,7,20,True,1.0,30.0
14586,19,2846.789448973876,0.2177776506252964,1.6659856993979227e-05,2,38,True,1.0,218.0
14587,19,181983.74956006228,21.33455446190648,0.0025011201010441,5,0,True,1.0,142.0
14588,19,822.2628017022344,0.684078869968581,0.0005691171963132,5,20,True,1.0,20.0
14589,19,140.05708542812437,0.1171045864783648,9.791353384478668e-05,5,40,True,1.0,20.0
14590,19,31.37826403479522,0.0261485533623293,2.1790461135274456e-05,9,20,True,1.0,20.0
14591,19,21.7973199995564,0.0181644333329636,1.5137027777469722e-05,9,40,True,1.0,20.0
14592,19,100.22909172666564,0.0835242431055547,6.960353592129559e-05,14,0,True,1.0,20.0
14593,19,80.27109393503795,0.0668925782791983,5.574381523266525e-05,22,20,True,1.0,20.0
14594,19,3.596280084149543,3.596280084149543,3.596280084149543,23,20,False,0.0,60.0
14595,19,544.5817416262084,0.2270036438625295,9.462427839205068e-05,0,0,True,1.0,40.0
14596,19,0.5627892300249859,0.0004689910250208,3.90825854184018e-07,0,20,False,0.0,20.0
14597,19,392.5217415994856,0.3271014513329047,0.0002725845427774,0,40,True,1.0,20.0
14598,19,216.62823194133117,0.1805235266177759,0.0001504362721814,1,0,True,1.0,20.0
14599,19,2.347184466095505,0.0019559870550795,1.6299892125663232e-06,1,20,False,0.0,20.0
14600,19,101.25857612099014,0.0843821467674917,7.031845563957648e-05,1,40,True,1.0,20.0
14601,19,147.20019442833944,0.12256469144741,0.0001020521993733,3,20,True,1.0,20.0
14602,19,146.7060483156911,0.1223570044334371,0.0001020492113706,3,40,True,1.0,20.0
14603,19,24.583757802641617,0.0196827524440685,1.5758809002456802e-05,16,40,True,1.0,21.0
14604,19,26.969368271377583,0.0299327061835489,3.322164948229626e-05,18,13,True,1.0,15.0
14605,19,39.92697436150797,0.0252382897354664,1.5953406912431404e-05,18,40,True,1.0,27.0
14606,19,0.8922082681033163,0.0007428878169053,6.185577159911261e-07,19,0,False,0.0,20.0
14607,19,113.79113255732544,0.0948259437977712,7.902161983147601e-05,19,20,True,1.0,20.0
14608,19,2.909984901660694,0.0024270099263225,2.0241951011864166e-06,19,40,False,0.0,20.0
14609,19,372.7965944451698,0.3106638287043081,0.0002588865239202,20,0,True,1.0,20.0
14610,19,3.912067324391223,0.0032600561036593,2.7167134197161272e-06,20,40,False,0.0,40.0
14611,19,575.8906578783043,0.4799088815652536,0.000399924067971,21,0,True,1.0,20.0
14612,19,20.365606513136704,0.0169854933387295,1.4166383101525878e-05,8,0,True,1.0,20.0
14613,19,453.5048591856711,0.3779207159880592,0.00031493392999,20,0,True,1.0,20.0
14614,19,131.14311127384244,0.1092859260615353,9.107160505127947e-05,20,20,True,1.0,20.0
14615,19,1.4824674040053287,0.0012353895033377,1.0294912527814784e-06,20,40,False,0.0,20.0
14616,19,531.9515421374902,0.4436626706734697,0.0003700272482681,21,0,True,1.0,20.0
14617,19,49.22365858592904,0.040985560854229,3.412619554890009e-05,21,20,True,1.0,20.0
14618,19,149.841882819695,0.1565745901982184,0.0001636098121193,22,56,True,1.0,16.0
14619,19,79.79679318132253,0.0552992329738894,3.832240677331219e-05,23,20,True,1.0,24.0
14620,19,225.11451244103267,0.2103873948047034,0.0001966237334623,23,38,True,1.0,18.0
14621,19,267.2592609207261,0.2004945693328778,0.0001504085291319,0,0,True,1.0,22.0
14622,19,6.02587562725975,0.0050215630227164,4.184635852263716e-06,0,40,False,0.0,40.0
14623,19,27.13701146207537,0.0226141762183961,1.884514684866345e-05,1,0,True,1.0,20.0
14624,19,230.1075194196305,0.1917562661830254,0.0001597968884858,2,40,True,1.0,20.0
14625,19,98.1976004808758,0.0818313337340631,6.819277811171932e-05,6,40,True,1.0,20.0
14626,19,3.8296320440506633,0.0031940217214767,2.6639046884710453e-06,7,20,False,0.0,40.0
14627,19,106.76277883792882,0.0889689823649406,7.414081863745056e-05,7,40,True,1.0,20.0
14628,19,455.7148732443752,0.3794461892126354,0.0003159418727832,20,0,True,1.0,20.0
